T�tulo;Rating;Votos;Duraci�n;Director;G�nero;A�o
Speak Me Fair;7.8;173;30;nm0572132;Western;1960
La magia de Los Parchís;5.1;70;90;nm0844532;Comedy,Family,Musical;1982
Breathing Fire;5.1;697;74;nm0448187;Action,Drama;1991
Money;5.9;213;43;nm0548449;Action,Adventure,Crime;1991
Godzilla;8;224;25;nm5668015;Comedy,Music;2021
Balmy Swami/Camouflage Hop-Aroo/Mop Up/Left Hanging/Wild Mutt Muttley;7.2;47;22;nm0053484;Action,Adventure,Animation;1969
476 A.D.;7.9;15;165;nm1875599;History;2016
Bob's Deaf Niece Visits Sesame Street;7.6;24;55;nm0227521;Adventure,Animation,Comedy;2005
Carta bianca;6.8;11;90;nm3459058;Drama;2013
Comando Txikia: Muerte de un presidente;5.7;38;103;nm0535106;Drama;1977
Kishukusha no yoru;6.2;6;26;nm2346766;Action,Adventure,Animation;2006
Cheers for Fears/Just Our Luck;8.2;201;23;nm2474165;Action,Adventure,Animation;2013
Night;7.4;5;23;nm6636268;Horror,Short;2021
Timepass 3;5.7;434;122;nm2165634;Drama,Romance;2022
Robert and Bertram;6.1;50;88;nm0220131;Comedy;1961
Vi Dang Tình Yêu;7.1;14;101;nm10690814;Drama,Romance;1990
The Great MacGrady;7.1;27;26;nm0047278;Adventure,Animation,Comedy;2021
The Conspiracy;7.5;472;52;nm2440349;Crime,Documentary,History;2019
Tapja õllejogurti rünnak;7.8;58;32;nm1411975;Action,Comedy,Horror;2001
Mother of Rock Lillian Roxon;6.2;43;74;nm1766739;Documentary,Music;2010
Music to My Ears;7.9;520;58;nm2994316;Comedy,Crime,Drama;2021
Sha ji chong chong;5.9;19;107;nm0911048;Crime,Drama;1960
Room to Grow;8.9;170;44;nm0071706;Drama,Family;2019
Episode 5;8.1;1177;62;nm0611679;Drama,Sci-Fi;2019
Öfkeli Çilginlik Karamsar Çile;6.4;16;80;nm4486562;Drama;2011
Spring;8;85;47;nm1363148;Action,Adventure,Documentary;2022
Team Why Cheat India & Sunny Leone;6.7;37;72;nm1132850;Comedy,Talk-Show;2019
Nauta;5.2;15;87;nm1228541;Comedy,Drama;2010
Frauen sind keine Engel;6.8;63;80;nm0286924;Comedy,Musical,Romance;1943
Hercules and the Golden Touch;8.3;28;23;nm0918465;Action,Adventure,Animation;1998
Crossing the Line;7.4;872;94;nm1326085;Documentary;2006
Tenfold Path: Worst Drum Instructional Ever;8.1;11;120;nm0705076;Music;2008
Egg Drop;7.8;892;22;nm0251848;Comedy;2022
Uncle Kruger;6.5;293;124;nm0826094;Biography,War;1941
The Test of Honor;7.7;38;50;nm0731910;Drama;1919
The Birth;6.4;605;33;nm0349785;Biography,Drama,Short;1906
Tiny Giants 3D;7.7;834;44;nm2518019;Adventure,Documentary,Family;2014
Oresama;6.7;223;66;nm0555416;Music;2004
Fritzl: What Happened Next;6.3;14;65;nm4717588;Crime,Documentary;2017
Fragmentation;6.9;43;23;nm2116473;Action,Animation,Romance;2012
The Dark Heart of Texas;7.8;27;45;nm1951718;Drama,Western;2014
That Which Is Lost;7.5;527;24;nm1159782;Action,Adventure,Animation;2004
Holiday;9.1;1120;24;nm0551953;Comedy;2007
Episode #1.4;8.5;13;37;nm7440972;Drama,Horror,Mystery;2017
Huysuz;2.9;40;82;nm0438888;Comedy;1986
Topaze;6.7;1064;78;nm0195496;Comedy,Drama;1933
Union of the north;8;18;81;nm1347070;Drama,Music,Musical;2017
Whatever It Takes;3.4;37;75;nm3030745;Drama;2007
Lost in the USA;4.4;259;104;nm11644334;Comedy,Drama;2002
Lost Youth;6.8;207;80;nm0314584;Crime,Drama;1948
Florida's Conquistador Coast;8;10;42;nm1342953;Reality-TV;2017
The Secret of Sarah Pennington;7.2;20;75;nm3235154;Horror;2013
Our Dream Wedding;5.8;350;87;nm2985554;Comedy,Drama,Romance;2021
Once Upon a Cherrox;5.6;10;6;nm3349372;Short;2006
Haunted Heart;5.2;198;128;nm0874096;Romance,Thriller;2024
The Verdict;8.9;1717;30;nm2021516;Comedy;2023
We All Fall Down;7.2;968;98;nm0274143;Comedy;1997
Primer amor... tres a�os despu�s;6.9;53;180;nm0661114;Action,Adventure,Family;2001
Mirai Yomi;7.5;265;27;nm2852680;Action,Adventure,Animation;2006
Hochzeit um jeden Preis;5.4;20;88;nm0601182;Comedy;2007
Il y a Allemand et Allemand;7;139;22;nm2035216;Comedy;2015
Chamber Drama;8.9;9;11;nm2319536;Drama,Short;2014
Smart House;6.1;8564;82;nm0000996;Comedy,Drama,Family;1999
Episode #1.10;6.8;25;63;nm3290738;Comedy,Fantasy,Romance;2010
The Universe's Greatest Hits;8.2;29;86;nm3253291;Documentary;2016
The Show Must Go On;8.1;541;45;nm0000151;Drama,Thriller;2015
River Plate;6.4;5;16;nm0196395;Drama,Short;2013
Kitten's Scribbling;6;50;13;nm0944763;Animation,Short;1957
Osa 9;6.3;9;8;nm6949399;Adventure,Family,Fantasy;2014
Time;9;102;60;nm0198991;Adventure,Comedy,Drama;2000
Avsnitt 13;5.8;9;15;nm7815208;Comedy,Drama,Family;2018
Skips in the Saddle;7.9;2522;11;nm2804592;Action,Adventure,Animation;2014
Mahou Sentai Magiranger vs. Dekaranger;6.8;63;48;nm0913818;Action;2006
Apotemnofilia;7;18;9;nm15163223;Horror,Short;2023
The Killing Philosophy Part One;7.9;100;45;nm0241978;Crime,Drama,Mystery;1987
Russo;7.4;178;60;nm0481358;Crime,Drama,Mystery;2006
The Black Book;7.6;154;73;nm0308659;Crime,Drama,Mystery;2006
Parashyutisty;5.6;28;91;nm0411948;Drama;1985
In the Shade of Fallen Chinar;7.9;14;16;nm6427437;Short;2016
Boxed up Fury;7.1;115;24;nm0240548;Action,Adventure,Animation;2006
Hot and Bothered;7.9;206;42;nm0920001;Action,Crime,Drama;2010
All' Arrabbiata - Eine kochende Leidenschaft;4;18;92;nm0758949;Comedy;2001
Into the Wild: The Making of Welcome to the Jungle;5.2;12;15;nm0502951;Short;2007
Prove It;7.8;11;50;nm0595610;Crime,Drama;1972
The Last of the Drunken Ones;6.4;37;24;nm0654999;Action,Comedy,Sci-Fi;1998
Triple Vise;7.2;109;30;nm0086251;Western;1960
Stilts;7.4;704;23;nm0095450;Comedy,Family;2005
Axis Mundi;7.5;2055;44;nm0323758;Action,Adventure,Sci-Fi;2024
El muerto al pozo y el vivo al gozo;7.8;45;93;nm8866330;Comedy;2014
The Jake Lingle Killing;7.5;140;60;nm0307819;Action,Crime,Drama;1959
Looms;8.5;14;15;nm3216051;Drama,Short;2014
Art of the Devil 3;5.5;631;80;nm1506786;Horror;2008
Love and Hate;6.2;34;80;nm0312667;Drama;1935
Zoey's Extraordinary Employee;7.6;448;42;nm1449136;Comedy,Drama,Musical;2021
Episode #2.4;7.2;112;24;nm1577262;Comedy;2021
The Victor;5.4;46;87;nm0687745;Drama,Romance;1965
Nerazumevalica (Understandinglessness);9.1;61;;nm14132327;Family,Fantasy;2022
Crushed by a Steamroller on My 53rd Birthday;7.3;131;12;nm2745845;Adventure,Animation,Comedy;2012
Truth Bombs;7.5;38;45;nm2427231;Reality-TV,Romance;2024
Vacances infernales;6.8;16;89;nm0071117;Drama;2012
Yo Yo Ninja;5.6;10;45;nm3760337;Documentary;2013
The Only Boy for Me;6;36;90;nm0401982;Comedy,Drama,Romance;2006
Glukhoman;4.5;10;74;nm0813510;Crime;1991
To Russia... With Elton;7.8;64;42;nm0166074;Documentary,Music,Short;1979
Based on a True Story;6.7;212;75;nm0831436;Crime,Documentary;2004
Do You Remember Dolly Bell?;7.5;6923;110;nm0001437;Comedy,Drama,Romance;1981
Laibach: The Videos;7.8;31;100;nm0687987;Music;2004
Bundy and the Green River Killer;3.4;1340;85;nm2096009;Crime,Drama,Thriller;2019
Hala I Ke Ala O'i'ole Mai;7.9;475;43;nm0001835;Action,Crime,Drama;2019
Rainwoman 14;7.3;131;92;nm0228642;Adult;1999
Quantum Doughnut;9.6;8;9;nm8739843;Short;2019
Game of Masks;9.2;324;22;nm0998278;Action,Adventure,Animation;2018
Glissando;7.8;10;72;nm1165220;Drama;2002
Lu Over the Wall;6.8;2769;112;nm1482702;Adventure,Animation,Comedy;2017
El oreja rajada;5.5;25;90;nm0302201;Adventure,Comedy,Drama;1980
La voie de Laura;5.8;42;180;nm0192577;Thriller;2005
Episode #2.3;6.9;13;30;nm0070436;Comedy,Game-Show,Music;1997
Mr. Bliss;6.8;52;33;nm0864334;Animation,Short;2004
The Lady from Cheyenne;6.1;172;88;nm0515979;Comedy,Drama,Western;1941
Night at the Lake;8.5;38;24;nm2459245;Action,Animation,Comedy;2016
Project X;6.2;13019;108;nm0438279;Comedy,Drama,Sci-Fi;1987
7 1/2 Frauen;7;66;8;nm2207212;Mystery,Short;2006
El sonido del tambor;7.3;10;5;nm12005779;Short,Thriller;2018
Bad Moon Rising;8.7;45;42;nm1395302;Crime,Documentary;2017
The Blind Banker;7.9;29587;89;nm0528186;Crime,Drama,Mystery;2010
Somewhere Over the Radio;7.8;44;48;nm0390103;Drama,History,War;1988
Sweet Girls;6.3;46;103;nm1803035;Comedy;2015
Les aventures de Serge le Mytho et Steve Jobs;7.5;11;2;nm4594990;Comedy;2016
The Sontaran Stratagem;7.4;7178;45;nm0533559;Adventure,Drama,Sci-Fi;2008
Das I Team;7.5;15;23;nm1580701;Comedy;2020
Hoon Payon;4.3;121;109;nm3257659;Horror;2023
Carved;4.4;2188;95;nm2341629;Comedy,Horror;2024
Binding Souls;4;151;89;nm5688071;Horror;2018
Episode #2.23;4.2;73;144;nm1754483;Drama,Romance;2017
Trial of the Take: Part 4;7.9;78;285;nm2233310;Adventure,Fantasy;2015
Portal Man;5.2;31;87;nm7650148;Sci-Fi;2017
Love Index Skyrockets;5.8;7;31;nm0442828;Action,Animation,Comedy;2012
Brad Smith;5.8;24;27;nm2142199;Comedy,News,Talk-Show;2019
Ein Liebesversuch;6.2;35;13;nm0460176;Short;1998
Breaking Even;7.8;15;24;nm4538633;Comedy,Short;2011
Les osselets;6.6;6;30;nm1569295;Fantasy,Short;2017
Game Room Spank;6.2;12;60;nm1766415;Adult;2005
Double Crosser;6.6;48;85;nm0034970;Action,Thriller;1989
El clan;6.6;83;89;nm1254500;Action,Crime,Thriller;2012
Don't Look Back;7.8;124;43;nm0870306;Crime,Drama,Mystery;2002
A Funny Thing Happened on the Way to Me Killing You;8.4;286;45;nm0437246;Drama,Fantasy,Horror;2011
Beat the Heat;9.7;6;5;nm1844386;Animation,Family;2022
Cereal;7.9;10;8;nm5622765;Horror,Short;2023
I Never Changes My Altitude;7;359;6;nm0281487;Animation,Comedy,Family;1937
Giveaway;6;5;51;nm1295189;Drama,Thriller;2022
Indy's Women: The American Film Institute Tribute;6.7;25;9;nm0100522;Documentary,Short;2008
Bewitched;5.1;203;79;nm0090109;Drama,Horror;1976
Lung Neaw Visits His Neighbours;7.5;6;154;nm2197442;Documentary;2011
The Forecaster;6.7;1269;100;nm0895455;Biography,Documentary;2014
Agassi: Between the Lines;8.6;15;80;nm1836060;Documentary;2007
Productive Panic;6.9;370;21;nm0615273;Animation,Comedy;2023
The Med: Part 2;5.8;8;43;nm1650828;Documentary;2022
Infanta's Birthday;2.7;24;54;nm2332369;Documentary,Drama;2007
Sound;6.6;13;;nm1003647;Comedy,Documentary,Family;1993
Masterstroke of Malevolence;7.5;46;23;nm1134050;Action,Adventure,Animation;2003
Scents and Sensibility;7.9;130;43;nm0367524;Crime,Drama,Mystery;2023
Legacy;6.9;165;46;nm0766191;Action,Crime,Drama;1984
The Strange Story of the Eurocine Cannibal Film;4.4;12;47;nm1818500;Documentary;2019
'Bokutachi no sensô' ga hajimaru;8.6;8;22;nm1992375;Action,Animation,Comedy;1997
Tragedy Strikes Zoya And Aditya;9.3;46;48;nm4406069;Drama,Mystery,Romance;2018
TRIPLE TIMe;7.6;55;25;nm6634251;Drama,Sci-Fi,Short;2017
Malaika;2.9;113;120;nm2791239;Drama;2023
Ingen tid för kärlek - En film om Johnny Bode;6.5;74;85;nm5164360;Biography,Documentary;2017
Sunday Morning Coming Down;7.8;18;20;nm3147100;Action,Crime,Drama;2010
The Match;5;733;94;nm3305521;Drama;2019
SLOVAKIA: Treasures in the Heart of Europe;7;51;66;nm2278408;Documentary;2015
Isotopes v Gardners;7.2;6;29;nm1936892;Game-Show;2023
Tether;5.5;19;13;nm2158747;Sci-Fi,Short;2012
...Is It the Design on the Wrapper?;5.8;74;8;nm0792266;Short;1997
Hinkelgockelgackelei;7.9;19;;nm0096508;Animation,Comedy,Family;1985
Make An Automotive Art Gallery To Prove Cars Are More Popular Than Traditional Art;7.9;279;59;nm1656402;Adventure,Sport,Talk-Show;2009
Night Tide;6.4;4285;86;nm0364252;Drama,Horror,Romance;1961
Tempo of a Restless Soul;7.5;15;85;nm0483043;Documentary;2009
Les idoles;6.4;10;7;nm0439767;Documentary,Short;1963
Voglia di maschi caldi;4;9;83;nm0194878;Adult;1994
Fortune Dane;6.3;16;80;nm0786989;Crime,Drama;1986
The Truth Behind Truths;7.9;510;24;nm1562522;Action,Adventure,Animation;2004
An Army of Women;8.1;16;84;nm8844861;Documentary;2024
Yesterday's Ashes;7.5;38;;nm0628577;Action,Crime,Drama;1972
Eye of the Tiger;7;46;21;nm0625065;Comedy,Drama,Family;2003
Dead Man's Caravan;8.4;39;23;nm0280416;Comedy;2016
The Delivery;7.2;89;29;nm0544896;Animation,Comedy;2000
Paul Giamatti/Ludacris featuring Sum-41;5.7;88;90;nm0565063;Comedy,Music;2005
Episode #16.37;6.7;33;43;nm1626413;Reality-TV;2014
Motherland;8.3;462;48;nm2573005;Biography,Drama,History;2023
Puff Piece;8.1;113;57;nm0902939;Drama;2016
Intervention;9.4;2303;24;nm1989960;Action,Adventure,Animation;2008
Baisers envolés;3.6;19;1;nm2930046;Documentary,Short;1894
The Tell-Tale Heart: Animated Horror Short;7.2;5;16;nm2704225;Animation,History,Horror;2010
Bitch;7.7;124;43;nm0915400;Crime,Drama,Thriller;2011
Siamoise;8;6;13;nm11985539;Documentary,Short;2018
Gan yan gwai;5.7;32;85;nm0151078;Comedy;1984
Musical Chairs;5.9;349;102;nm0782384;Drama,Romance;2011
Folks (Abridged);7.4;8;32;nm2785511;Short;2010
Mysterious Girl-Meets-Girl;8.2;28;24;nm2894397;Animation,Comedy,Mystery;2012
The House of the Father;8.2;8;70;nm2667785;Documentary;2009
Log 46: Pilgrimage;8.2;108;25;nm0748979;Crime,Drama;1970
Will Eisner: Portrait of a Sequential Artist;7.8;44;143;nm0177368;Documentary;2007
They Call Us Misfits;7.3;1645;100;nm0511951;Documentary;1968
Nur ein toter Mann ist ein guter Mann;5;63;87;nm0340170;Comedy,Crime;1999
The Eleventh Commandment: Part Three;7.7;30;25;nm0929151;Drama;1972
Nela Ticket;4.3;908;120;nm7850257;Action,Comedy,Crime;2018
Secret History of the Dividing Line;7.4;5;20;nm1348560;Short;2002
Age of Consent;8.2;21;60;nm0784198;Drama;1963
What's Cooking?;6.3;14;30;nm0946756;Comedy;1953
